x,y
243,369
244,369
245,369
246,369
247,369
248,369
249,369
250,369
240,370
241,370
242,370
243,370
244,370
245,370
246,370
247,370
248,370
249,370
250,370
251,370
252,370
253,370
237,371
238,371
239,371
240,371
241,371
242,371
243,371
244,371
245,371
246,371
247,371
248,371
249,371
250,371
251,371
252,371
253,371
254,371
255,371
256,371
236,372
237,372
238,372
239,372
240,372
241,372
242,372
243,372
244,372
245,372
246,372
247,372
248,372
249,372
250,372
251,372
252,372
253,372
254,372
255,372
256,372
257,372
234,373
235,373
236,373
237,373
238,373
239,373
240,373
241,373
242,373
243,373
244,373
245,373
246,373
247,373
248,373
249,373
250,373
251,373
252,373
253,373
254,373
255,373
256,373
257,373
258,373
259,373
233,374
234,374
235,374
236,374
237,374
238,374
239,374
240,374
241,374
242,374
243,374
244,374
245,374
246,374
247,374
248,374
249,374
250,374
251,374
252,374
253,374
254,374
255,374
256,374
257,374
258,374
259,374
260,374
232,375
233,375
234,375
235,375
236,375
237,375
238,375
239,375
240,375
241,375
242,375
243,375
244,375
245,375
246,375
247,375
248,375
249,375
250,375
251,375
252,375
253,375
254,375
255,375
256,375
257,375
258,375
259,375
260,375
261,375
231,376
232,376
233,376
234,376
235,376
236,376
237,376
238,376
239,376
240,376
241,376
242,376
243,376
244,376
245,376
246,376
247,376
248,376
249,376
250,376
251,376
252,376
253,376
254,376
255,376
256,376
257,376
258,376
259,376
260,376
261,376
262,376
231,377
232,377
233,377
234,377
235,377
236,377
237,377
238,377
239,377
240,377
241,377
242,377
243,377
244,377
245,377
246,377
247,377
248,377
249,377
250,377
251,377
252,377
253,377
254,377
255,377
256,377
257,377
258,377
259,377
260,377
261,377
262,377
230,378
231,378
232,378
233,378
234,378
235,378
236,378
237,378
238,378
239,378
240,378
241,378
242,378
243,378
244,378
245,378
246,378
247,378
248,378
249,378
250,378
251,378
252,378
253,378
254,378
255,378
256,378
257,378
258,378
259,378
260,378
261,378
262,378
263,378
230,379
231,379
232,379
233,379
234,379
235,379
236,379
237,379
238,379
239,379
240,379
241,379
242,379
243,379
244,379
245,379
246,379
247,379
248,379
249,379
250,379
251,379
252,379
253,379
254,379
255,379
256,379
257,379
258,379
259,379
260,379
261,379
262,379
263,379
229,380
230,380
231,380
232,380
233,380
234,380
235,380
236,380
237,380
238,380
239,380
240,380
241,380
242,380
243,380
244,380
245,380
246,380
247,380
248,380
249,380
250,380
251,380
252,380
253,380
254,380
255,380
256,380
257,380
258,380
259,380
260,380
264,380
229,381
230,381
231,381
232,381
233,381
234,381
235,381
236,381
237,381
238,381
239,381
240,381
241,381
242,381
243,381
244,381
245,381
246,381
247,381
248,381
249,381
250,381
251,381
252,381
253,381
254,381
255,381
256,381
257,381
258,381
229,382
230,382
231,382
232,382
233,382
234,382
235,382
236,382
237,382
238,382
239,382
240,382
241,382
242,382
243,382
244,382
245,382
246,382
247,382
248,382
249,382
250,382
251,382
252,382
253,382
254,382
255,382
228,383
229,383
230,383
231,383
232,383
233,383
234,383
235,383
236,383
237,383
238,383
239,383
240,383
241,383
242,383
243,383
244,383
245,383
246,383
247,383
248,383
249,383
250,383
251,383
252,383
228,384
229,384
230,384
231,384
232,384
233,384
234,384
235,384
236,384
237,384
238,384
239,384
240,384
241,384
242,384
243,384
244,384
245,384
246,384
247,384
248,384
249,384
228,385
229,385
230,385
231,385
232,385
233,385
234,385
235,385
236,385
237,385
238,385
239,385
240,385
241,385
242,385
243,385
244,385
245,385
246,385
227,386
228,386
229,386
230,386
231,386
232,386
233,386
234,386
235,386
236,386
237,386
238,386
239,386
240,386
241,386
242,386
227,387
228,387
229,387
230,387
231,387
232,387
233,387
234,387
235,387
236,387
237,387
238,387
239,387
227,388
228,388
229,388
230,388
231,388
232,388
233,388
234,388
227,389
228,389
229,389
230,389
